route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why,data_updated_date
941,941,1,Evening (19–24),3,46.35,46.35,46.35,0.0,,10.0,,,0.08636363636363636,0.0,3.02,moderate,2026-06-11
941,941,1,Midday (9–15),4,53.35,53.35,53.35,0.0,,10.0,,,0.08636363636363636,0.0,3.02,moderate,2026-06-11
941,941,1,PM Peak (15–19),16,53.35,46.35,53.35,7.0,,10.0,,,0.08636363636363636,0.23178807947019867,16.93,moderate,2026-06-11
944,944,0,AM Peak (6–9),22,19.0,19.0,19.0,0.0,21.0,4.0,1.0,4.0,0.19,0.0,6.65,moderate,2026-06-11
944,944,0,Midday (9–15),48,19.0,19.0,19.0,0.0,48.0,5.0,5.0,6.0,0.15833333333333333,0.0,5.54,moderate,2026-06-11
944,944,0,Overnight (0–6),2,19.0,19.0,19.0,0.0,1.0,3.0,3.0,3.0,0.2375,0.0,8.31,very low recovery time,2026-06-11
944,944,0,PM Peak (15–19),32,19.0,19.0,19.0,0.0,31.0,2.0,2.0,3.0,0.31666666666666665,0.0,11.08,very low recovery time,2026-06-11
944,944,1,AM Peak (6–9),23,15.0,15.0,15.0,0.0,22.0,2.0,1.0,5.0,0.31666666666666665,0.0,11.08,very low recovery time,2026-06-11
944,944,1,Midday (9–15),48,16.0,16.0,16.0,0.0,48.0,1.0,0.0,1.0,0.475,0.0,16.62,no recovery time,2026-06-11
944,944,1,Overnight (0–6),4,15.0,15.0,15.0,0.0,3.0,5.0,4.2,5.0,0.15833333333333333,0.0,5.54,moderate,2026-06-11
944,944,1,PM Peak (15–19),31,18.0,18.0,18.0,0.0,31.0,1.0,0.0,1.0,0.475,0.0,16.62,no recovery time,2026-06-11
945,945,0,AM Peak (6–9),19,40.1,34.8,41.1,6.300000000000004,15.0,11.0,10.4,12.0,0.07916666666666666,0.2135593220338984,15.58,moderate,2026-06-11
945,945,0,Evening (19–24),1,34.8,34.8,34.8,0.0,5.0,7.0,4.4,7.0,0.11875,0.0,4.16,moderate,2026-06-11
945,945,0,Midday (9–15),5,38.45,38.45,39.050000000000004,0.6000000000000014,1.0,10.0,10.0,10.0,0.08636363636363636,0.0252100840336135,4.54,moderate,2026-06-11
945,945,0,PM Peak (15–19),24,40.1,40.1,40.1,0.0,24.0,8.0,5.300000000000001,8.0,0.10555555555555556,0.0,3.69,moderate,2026-06-11
945,945,1,AM Peak (6–9),17,36.266666666666666,34.266666666666666,36.266666666666666,2.0,,10.0,,,0.08636363636363636,0.07936507936507936,7.78,moderate,2026-06-11
945,945,1,Evening (19–24),6,33.35,33.35,33.35,0.0,,10.0,,,0.08636363636363636,0.0,3.02,moderate,2026-06-11
945,945,1,Midday (9–15),4,37.21666666666667,36.266666666666666,39.56666666666666,3.299999999999997,,10.0,,,0.08636363636363636,0.12452830188679234,10.49,moderate,2026-06-11
945,945,1,PM Peak (15–19),24,41.166666666666664,39.195,41.166666666666664,1.971666666666664,,10.0,,,0.08636363636363636,0.07832880884592454,7.72,moderate,2026-06-11
952,952,0,AM Peak (6–9),30,5.0,5.0,60.0,55.0,24.0,5.5,1.5000000000000013,12.0,0.14615384615384613,0.7033248081841432,47.31,high schedule variability,2026-06-11
952,952,0,Evening (19–24),1,60.0,60.0,60.0,0.0,,10.0,,,0.08636363636363636,0.0,3.02,moderate,2026-06-11
952,952,0,Midday (9–15),5,60.0,5.0,60.0,55.0,3.0,12.0,6.4,12.0,0.07307692307692307,0.7033248081841432,44.76,high schedule variability,2026-06-11
952,952,0,PM Peak (15–19),40,32.5,5.0,68.0,63.0,35.0,1.0,0.0,8.0,0.475,0.7308584686774942,60.48,"no recovery time, high schedule variability",2026-06-11
952,952,1,AM Peak (6–9),17,62.0,41.6,62.0,20.4,12.0,0.0,0.0,0.0,0.95,0.4678899082568807,61.32,no recovery time,2026-06-11
952,952,1,Midday (9–15),2,67.5,62.3,72.7,10.400000000000006,1.0,0.0,0.0,0.0,0.95,0.3095238095238096,51.82,no recovery time,2026-06-11
952,952,1,PM Peak (15–19),20,74.0,64.0,74.0,10.0,15.0,0.0,0.0,0.0,0.95,0.3012048192771084,51.32,no recovery time,2026-06-11
953,953,0,AM Peak (6–9),13,59.0,59.0,59.0,0.0,9.0,5.0,3.4000000000000004,5.0,0.15833333333333333,0.0,5.54,moderate,2026-06-11
953,953,0,Midday (9–15),3,71.0,71.0,71.0,0.0,3.0,7.0,2.2,7.0,0.11875,0.0,4.16,moderate,2026-06-11
953,953,0,PM Peak (15–19),16,71.0,71.0,71.0,0.0,15.0,5.0,2.2,5.0,0.15833333333333333,0.0,5.54,moderate,2026-06-11
953,953,1,AM Peak (6–9),13,56.0,56.0,56.0,0.0,12.0,10.0,10.0,10.0,0.08636363636363636,0.0,3.02,moderate,2026-06-11
