route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why
127,127,1,Overnight (0–6),3,20.0,20.0,20.0,0.0,3.0,4.0,4.0,4.0,0.6,0.0,30.0,moderate
127,127,1,PM Peak (15–19),9,29.0,28.6,29.0,0.3999999999999986,9.0,7.0,6.6,7.0,0.30000000000000004,0.011428571428571389,15.6,moderate
129,129,0,AM Peak (6–9),20,70.5,41.0,72.0,31.0,19.0,8.0,7.2,8.0,0.19999999999999996,0.8857142857142857,54.3,high schedule variability
129,129,0,Evening (19–24),33,35.0,33.0,56.0,23.0,29.0,7.0,5.0,8.0,0.30000000000000004,0.6571428571428571,47.9,moderate
129,129,0,Midday (9–15),39,39.0,39.0,66.60000000000001,27.60000000000001,35.0,8.0,8.0,15.0,0.19999999999999996,0.7885714285714288,49.4,high schedule variability
129,129,0,Overnight (0–6),16,34.0,31.0,59.0,28.0,13.0,8.0,2.8000000000000007,9.600000000000001,0.19999999999999996,0.8,50.0,high schedule variability
129,129,0,PM Peak (15–19),26,68.5,41.0,69.0,28.0,25.0,9.0,9.0,10.200000000000003,0.09999999999999998,0.8,45.0,high schedule variability
129,129,1,AM Peak (6–9),19,67.0,37.8,67.0,29.200000000000003,18.0,9.5,3.0,18.0,0.050000000000000044,0.8342857142857144,44.2,high schedule variability
129,129,1,Evening (19–24),32,35.0,32.0,62.60000000000001,30.60000000000001,33.0,9.0,6.0,16.0,0.09999999999999998,0.8742857142857146,48.7,high schedule variability
129,129,1,Midday (9–15),39,39.0,39.0,72.20000000000002,33.20000000000002,32.0,4.0,3.0,16.50000000000001,0.6,0.9485714285714291,77.4,high schedule variability
129,129,1,Overnight (0–6),20,30.0,28.766666666666666,34.80000000000004,6.033333333333374,13.0,7.0,0.6000000000000005,17.8,0.30000000000000004,0.17238095238095355,23.6,moderate
129,129,1,PM Peak (15–19),27,70.0,42.4,79.0,36.6,27.0,11.0,7.800000000000001,18.0,0.0,1.0,50.0,high schedule variability
130,130,0,AM Peak (6–9),10,22.0,19.5,22.0,2.5,,10.0,,,0.0,0.07142857142857142,3.6,moderate
130,130,0,Evening (19–24),11,22.0,20.0,22.0,2.0,,10.0,,,0.0,0.05714285714285714,2.9,moderate
130,130,0,Midday (9–15),14,21.0,21.0,21.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
130,130,0,Overnight (0–6),3,20.0,20.0,20.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
130,130,0,PM Peak (15–19),11,24.0,22.0,24.0,2.0,,10.0,,,0.0,0.05714285714285714,2.9,moderate
130,130,1,AM Peak (6–9),8,24.0,20.0,24.0,4.0,8.0,7.0,5.5,12.5,0.30000000000000004,0.11428571428571428,20.7,moderate
130,130,1,Evening (19–24),12,22.0,20.0,22.0,2.0,11.0,6.0,0.0,15.0,0.4,0.05714285714285714,22.9,moderate
130,130,1,Midday (9–15),15,20.0,20.0,20.0,0.0,14.0,3.0,3.0,3.0,0.7,0.0,35.0,very low recovery time
130,130,1,Overnight (0–6),4,20.0,20.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
130,130,1,PM Peak (15–19),11,23.0,23.0,23.0,0.0,11.0,8.0,2.0,10.0,0.19999999999999996,0.0,10.0,moderate
131,131,0,AM Peak (6–9),13,50.0,50.0,50.0,0.0,14.0,10.0,4.0,10.0,0.0,0.0,0.0,moderate
131,131,0,Evening (19–24),19,41.0,31.03,41.0,9.969999999999999,16.0,10.0,9.0,17.5,0.0,0.2848571428571428,14.2,moderate
131,131,0,Midday (9–15),23,50.0,50.0,50.0,0.0,21.0,12.0,9.0,12.0,0.0,0.0,0.0,moderate
131,131,0,Overnight (0–6),9,38.0,3.15,43.0,39.85,2.0,1.5,1.1,1.9,0.85,1.0,92.5,"very low recovery time, high schedule variability"
131,131,0,PM Peak (15–19),18,43.0,43.0,43.0,0.0,18.0,13.0,7.500000000000001,14.200000000000003,0.0,0.0,0.0,moderate
131,131,1,AM Peak (6–9),16,51.0,26.541666666666668,51.0,24.458333333333332,14.0,6.0,3.9000000000000004,9.400000000000002,0.4,0.6988095238095238,54.9,high schedule variability
131,131,1,Evening (19–24),16,47.0,44.0,47.0,3.0,19.0,4.0,0.0,4.199999999999999,0.6,0.08571428571428572,34.3,moderate
131,131,1,Midday (9–15),21,51.0,51.0,52.0,1.0,22.0,6.0,6.0,10.50000000000001,0.4,0.02857142857142857,21.4,moderate
131,131,1,Overnight (0–6),9,41.93333333333333,2.0833333333333335,44.6,42.516666666666666,9.0,0.0,0.0,0.6000000000000005,1.0,1.0,100.0,"no recovery time, high schedule variability"
131,131,1,PM Peak (15–19),20,55.0,55.0,55.0,0.0,18.0,6.0,5.4,7.200000000000003,0.4,0.0,20.0,moderate
132,132,0,AM Peak (6–9),8,24.0,24.0,24.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
132,132,0,Evening (19–24),11,21.0,18.0,23.0,5.0,,10.0,,,0.0,0.14285714285714285,7.1,moderate
